time,dof_pos_target,dof_pos_actual,dof_tau,base_pos,base_vel
0.4200000000000003,"-0.38075504,-0.03968594, 0.03294114, 0.638536  ,-0.36610246,-0.0341755 ,
 -0.21289548,-0.1321924 , 0.15986183, 0.47295666,-0.07629632,-0.03167358","-2.89792202e-01, 1.59717996e-02, 1.98265823e-02, 5.92134810e-01,
 -3.05806014e-01,-7.03902118e-03,-3.09025509e-01,-3.60498746e-04,
  3.75352049e-02, 6.43146267e-01,-3.23211960e-01,-5.75733711e-03"," -4.92321258, -6.44109084,  3.93080519, -4.68723215,  4.7892149 ,
   2.00148349, 10.96143817,  0.77321789,  1.85177039,-24.26668643,
   5.91542546,  2.94535195","-0.01251688,-0.0564708 , 0.75794128"," 0.07081421,-0.25302811,-0.02695872"
0.44000000000000034,"-0.4336314 ,-0.00782871, 0.02297278, 0.72178775,-0.46263134,-0.03542597,
 -0.20247242,-0.22978875, 0.18288335, 0.52786934,-0.0784438 ,-0.13026382","-0.29338582, 0.02399978, 0.01162521, 0.61097869,-0.32219924,-0.01610588,
 -0.30774464, 0.01211197, 0.03351546, 0.646052  ,-0.32409071,-0.02236945"," -8.23403565, -7.05438387,  2.94619169,  0.13992118, -0.1443232 ,
  -0.08121873,  9.52904379,-15.66058412, 13.06599621,-27.4119114 ,
  10.96423506,  1.16285856","-0.01142057,-0.06129548, 0.75804376"," 0.05157861,-0.23030374, 0.03361489"
0.46000000000000035,"-0.4495817 ,-0.00541938, 0.01532404, 0.78384113,-0.50959533,-0.02868499,
 -0.21973565,-0.213957  , 0.17602995, 0.5432576 ,-0.06291673,-0.15488306","-0.31284787, 0.02834999, 0.00411929, 0.66256268,-0.36413803,-0.02145071,
 -0.31052118, 0.02369724, 0.02691439, 0.65357683,-0.33555535,-0.03865316"," -9.99767225, -3.83227695,  2.35762335, -1.66313334,  0.07196507,
  -0.11704678, 11.06072742,-26.24621772, 16.20271026,-19.93921504,
  11.24378516, -2.19205454","-0.01078721,-0.06545573, 0.75861467"," 0.02627004,-0.1871826 , 0.03274852"
0.48000000000000037,"-4.6072364e-01,-7.3870271e-04, 4.8753284e-03, 8.2851005e-01,
 -5.2822936e-01,-1.8077914e-02,-2.2835842e-01,-2.0038918e-01,
  1.5754086e-01, 5.5138659e-01,-4.6147555e-02,-1.4855523e-01","-0.34200313, 0.02626955, 0.0007876 , 0.72803508,-0.41021866,-0.02315228,
 -0.31430944, 0.03115239, 0.02103128, 0.65709626,-0.34200219,-0.0517218 "," -8.11491801, -2.78105481,  1.61271873, -3.122217  ,  0.05202621,
  -0.13035491,  9.79464956,-25.06586791, 15.94390692,-17.47386552,
  11.61175328, -3.0194249 ","-0.01048878,-0.06873757, 0.75910935"," 0.01340472,-0.14379665, 0.02509341"
0.5000000000000003,"-0.4735625 , 0.00332836,-0.00424172, 0.86233217,-0.53317124,-0.01017471,
 -0.2328887 ,-0.20600055, 0.14582479, 0.55728316,-0.01235676,-0.15231036","-0.37168812, 0.01801034,-0.00100749, 0.78528831,-0.44806699,-0.02231056,
 -0.31832592, 0.03552144, 0.01708851, 0.65803757,-0.34454835,-0.06034525","-6.36951373e+00,-9.91726531e-01, 6.81826043e-01,-2.86672970e+00,
 -1.13440774e-02, 6.99822051e-02, 9.33845386e+00,-2.39132055e+01,
  1.43332433e+01,-1.60530377e+01, 1.20930756e+01,-2.83395571e+00","-0.0103062 ,-0.07123904, 0.75947978"," 0.01063956,-0.10949963, 0.01754863"
0.5200000000000004,"-4.8769984e-01, 6.8620667e-03,-1.1746820e-02, 8.8828510e-01,
 -5.3376979e-01, 1.8228218e-04,-2.3619664e-01,-2.2609754e-01,
  1.4289623e-01, 5.6247973e-01, 2.4219409e-02,-1.6539896e-01","-0.39848527, 0.00611902,-0.00217825, 0.82850353,-0.47528895,-0.01926324,
 -0.3221105 , 0.03808484, 0.01427009, 0.65800161,-0.345213  ,-0.06594213"," -5.25073339,  0.84462681, -0.14917819, -1.79205583, -0.06890194,
   0.06922641,  9.23797654,-24.60340644, 13.3768533 ,-15.0604158 ,
  13.34296338, -2.99260384","-0.01013129,-0.07314807, 0.75971503"," 0.01086327,-0.08413272, 0.00996818"
0.5400000000000004,"-0.5030467 , 0.00766595,-0.0163138 , 0.9076569 ,-0.5329429 , 0.00949961,
 -0.23824513,-0.24641846, 0.14320344, 0.5671054 , 0.05399184,-0.18318586","-0.42209671,-0.0068339 ,-0.0026609 , 0.85978933,-0.49356633,-0.01389655,
 -0.3255605 , 0.03963691, 0.01182265, 0.65795854,-0.34528127,-0.06998568"," -4.56778487,  2.52718763, -0.9018548 , -0.67609445, -0.11895377,
   0.06368103,  9.22383094,-26.69236444, 13.31335539,-14.31733277,
  14.78264938, -3.47612945","-0.00994342,-0.07460418, 0.75980575"," 0.01109338,-0.06380423, 0.00238761"
0.5600000000000004,"-0.516874  , 0.00491718,-0.01820064, 0.9219153 ,-0.53044486, 0.01601277,
 -0.24203327,-0.26051387, 0.14344677, 0.5706173 , 0.07165433,-0.20163763","-0.44295103,-0.01905967,-0.0023851 , 0.88248946,-0.50529439,-0.00717771,
 -0.32872078, 0.04053591, 0.00945431, 0.65840092,-0.34541101,-0.07314017"," -4.24328962,  3.72159798, -1.45031588,  0.17423027, -0.16046274,
   0.06210402,  9.31071196,-28.76286583, 13.58089067,-13.79288444,
  15.99441572, -4.13387347","-0.00975449,-0.07568635, 0.759758  "," 0.01058236,-0.04648376,-0.00415197"
0.5800000000000004,"-5.2790397e-01, 2.2760779e-04,-1.8559236e-02, 9.3195635e-01,
 -5.2665800e-01, 2.0344052e-02,-2.4773762e-01,-2.6714367e-01,
  1.4226139e-01, 5.7189322e-01, 7.3922738e-02,-2.1614335e-01","-4.61374264e-01,-2.95613010e-02,-1.50732248e-03, 8.99075683e-01,
 -5.12174764e-01,-4.47619989e-04,-3.31712913e-01, 4.09448036e-02,
  7.13842164e-03, 6.59648759e-01,-3.45929932e-01,-7.57891529e-02"," -3.98934275,  4.3197943 , -1.78093281,  0.79422095, -0.19165771,
   0.06849091,  9.22407552,-30.17150333, 13.83018962,-13.62981222,
  16.76900507, -4.80436037","-0.00957919,-0.07643715, 0.75958476"," 0.00940908,-0.03049676,-0.01043846"
0.6000000000000004,"-0.5357018 ,-0.00529272,-0.01789389, 0.9385488 ,-0.5218807 , 0.02330573,
 -0.25482488,-0.2688829 , 0.14034575, 0.5706376 , 0.06162681,-0.22486302","-4.77366623e-01,-3.77947392e-02,-2.40845734e-04, 9.11008970e-01,
 -5.15431517e-01, 5.50750503e-03,-3.34587731e-01, 4.10353485e-02,
  5.00367864e-03, 6.61847262e-01,-3.47034397e-01,-7.80516792e-02"," -3.70961401,  4.46400394, -1.95710405,  1.26837928, -0.21353105,
   0.08023609,  8.93034988,-30.8206379 , 13.90734972,-13.94265382,
  16.96184635, -5.32960303","-0.00941823,-0.07688404, 0.75929828"," 0.00868074,-0.01583635,-0.01585855"
